,Unnamed: 0,date,text,Time,Date
100,100,2019-01-01 19:33:49-02:00,"35’ de natação antes da chuva... 
#personaltrainer #personaltraining #mundobt #bodytech #btjardins #bteldorado #bodytecheldorado #btjk #bodytechjk #bodytechjkiguatemi… https://t.co/BPm81Pjk5Y",19:33,2019-01-01
214,214,2019-01-01 16:58:21-02:00,'O que dizer da chuva... já que todas às palavras já foram usadas no vídeo que acabei de gravar; no vazio que vem com o que deixamos no passado  agora o ser limpo de tudo segue em… https://t.co/oxdv1RFICS,16:58,2019-01-01
507,507,2019-01-01 10:25:28-02:00,"Que a chuva da paz  esperança  felicidade e amor caiam ao seu redor e façam brotar somente a prosperidade de um feliz novo ano.
#bomdia #felizanonovo2019 #chuva #de #paz… https://t.co/TITPNdsWgj",10:25,2019-01-01
1403,1403,2019-01-02 12:41:01-02:00,"Ainda sobre ontem... #VigíliaDaAdoração 
Palavra do Ano: Inevitável que todos passemos pelas águas a ordem é seguir em frente  romper a tempestade e não se ater aos ventos  raios e chuvas … https://t.co/PLMvGTxOP1",12:41,2019-01-02
1569,1569,2019-01-02 08:52:17-02:00,'E o que dizer da chuva  se já faltam palavras...sem falar que ela limpa e purifica  fortalece e leva vida aos cantos mais áridos... O que dizer da virada de ano... que carrega no colo e… https://t.co/mV1r8HXV0H,08:52,2019-01-02
1813,1813,2019-01-03 21:14:54-02:00,"Venci a chuva e a preguiça!
#vem2019 #academia #academiaclub109 #academiasantacecilia #treino #vidasaudavel #saipreguiça em Academia Club 109 https://t.co/kkeeN5GTVZ",21:14,2019-01-03
1956,1956,2019-01-03 18:09:52-02:00,Sábado tem lacre na termasrainbow.oficial e vai ser delicia em Termas Rainbow https://t.co/Vgb6M2pPSD,18:09,2019-01-03
2109,2109,2019-01-03 13:57:58-02:00,Pra quem não entendeu ainda  pra quem acha que é tempestade em copo d'água.. ninguém sabe o que é viver com medo por puro preconceito  até passar por uma situação de preconceito! #repost… https://t.co/ik2gxNGZYj,13:57,2019-01-03
2143,2143,2019-01-03 13:03:55-02:00,"Expectativa x Realidade!!!
Zoe vai da calmaria a tempestade em fração de segundos.😰
#1mesversario #1mes  #Zoe⚜️ #primcesa @ São Paulo  Brazil https://t.co/TagUMAVIA3",13:03,2019-01-03
2188,2188,2019-01-03 11:58:14-02:00,Que toda a esperança  emoções  vitórias e alegrias  caiam como uma enorme chuva de bençãos   tornando o mundo um lugar melhor para se viver... que a promessa… https://t.co/df9ieE23Z9,11:58,2019-01-03
2385,2385,2019-01-03 00:48:09-02:00,"Esqueçam  meninas  esse é o raio-x do meu coração. 
Boa noite   pessoal...kkkķkķk. em São Paulo  Brazil https://t.co/l16cG1B4yd",00:48,2019-01-03
2648,2648,2019-01-04 17:40:21-02:00,"Ôh chuva ⛈️
Sou bom pra caralho no violão comenta ai que eu deixo.
Escuta meu EP '4 Elementos' e medite.
#falamansa #chuvaemsp #terradagaroa #vozeviolao #bomdemais #4Elementos em São… https://t.co/ntJoyrb5bo",17:40,2019-01-04
2760,2760,2019-01-04 14:31:35-02:00,"Trabalhando com chuva....
Refrescoooou em São Paulo  Brazil https://t.co/nP7dEqhND1",14:31,2019-01-04
2968,2968,2019-01-04 08:29:56-02:00,Tome banho de chuva em Pacaembu Stadium https://t.co/51uEJ3loyD,08:29,2019-01-04
3027,3027,2019-01-04 01:25:45-02:00,Sábado tem sedução e prazer na termasrainbow.oficial quem vem comigo? em Termas Rainbow https://t.co/n6cNlmTEUB,01:25,2019-01-04
3204,3204,2019-01-05 20:23:55-02:00,sábado com chuva combina com sofá! #somostodosum #sozinho #dolcefarniente #vagabundando #enjoyingthesilence @ São Paulo  Brazil https://t.co/XKFvCoUMsr,20:23,2019-01-05
