date,id,username,text,retweets,favorites,permalink,mentions,hashtags,geo,emojis,lang,verified,replyCount,quoteCount
"2019-03-09 23:59:24",1104532166598369280,"kaplausius","Hoje direto do Pacaembu para São Paulo x Ferroviária pelo Campeonato Paulista. em Estádio Municipal Pacaembu https://t.co/kNxhi0I89H",0,1,"","","","","","pt","","0","0"
"2019-03-09 23:59:19",1104532144733356032,"Tais_Lenny","Garotos propaganda da Skol amam descer até o chão no blococeciliasebuarques 

#carnavalderua #carnaval2019 #sp #poscarnaval em Santa Cecília https://t.co/qzgI9VHGey",0,0,"","","#carnavalderua #carnaval2019 #sp #poscarnaval","","","pt","","0","0"
"2019-03-09 23:58:51",1104532028765102081,"ferdinandomm","Editorial de Moda arstoreoficiall 
📷 Fotos: @ferdinandomm com aliceramosoficial em São Paulo  Brazil https://t.co/TKTCDlhjgD",0,0,"","@ferdinandomm","","","📷","pt","","0","0"
"2019-03-09 23:57:47",1104531760132620289,"juba_kun","Saindo da festa de retorno da Nadya ao Brasil.

Parabéns pelo período em Okinawa e seja bem vinda de volta ao Brasil.

Karaokê de 5 horas para lavar a alma.

#karaokê #saopaulo #brasil… https://t.co/eUnheV8rbN",0,0,"","","#karaokê #saopaulo #brasil","","","pt","","1","0"
"2019-03-09 23:57:23",1104531661386002433,"jonasgoncalves","Ferrinha na Capital? Estamos juntos! ⚽️🚂 #LocomotivaGrená em Estádio Municipal Pacaembu https://t.co/skJ8HB3Zpy",0,0,"","","#LocomotivaGrená","","⚽ 🚂","pt","","0","0"
"2019-03-09 23:53:50",1104530765407285249,"ferdinandomm","Fotos de Editorial de Moda - arstoreoficiall 
📷Fotos: @ferdinandomm em São Paulo  Brazil https://t.co/Rlh9Ox62Zv",0,0,"","@ferdinandomm","","","📷","pt","","0","0"
"2019-03-09 23:53:41",1104530727658491909,"danilomlins","Deus ouve  te ampara e te sustenta...

Não se esqueça Dele... Ele nunca te esquece...

#OPesoDaPalavra #AbbaPai em São Paulo  Brazil https://t.co/HURBTtvC19",0,0,"","","#OPesoDaPalavra #AbbaPai","","","pt","","0","0"
"2019-03-09 23:51:20",1104530138413187072,"Brunynhadbarros","Vamos relaxar um pouco .... 😎😚 em São Paulo  Brazil https://t.co/6PCFdTj32Q",0,0,"","","","","😎 😚","pt","","0","0"
"2019-03-09 23:49:23",1104529645695840256,"Cindy_Vascs","Pena que andam tão em falta!!!! em São Paulo  Brazil https://t.co/nN37aVDEdg",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:48:09",1104529333882900480,"_roilson","A rua é nossa. Nossa felicidade é nosso protesto.

Valeu baianasystem em Avenida Tiradentes  Sao Paulo https://t.co/z1gTMEM1it",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:43:19",1104528120839729152,"DrexTricolor","Ganhar promoção é muito bom... valeu @tricolornaweb e @bancointer por nos proporcionar tudo isso tmj!! em Estádio Municipal Pacaembu https://t.co/lU4n9Z4Hu3",0,3,"","@tricolornaweb @bancointer","","","","pt","","0","0"
"2019-03-09 23:40:33",1104527422072881152,"dcicivizzo","Ariany... 🥰🤪
Não dá para resistir....!
.
Modelo: arianycannone .
#arlivre #beleza #ensaio #model  #sexy  #styleinspiration  #glamour #fashionbloggers #modafeminina #estilo #itgirl… https://t.co/UA12NOM6Ic",0,1,"","","#arlivre #beleza #ensaio #model #sexy #styleinspiration #glamour #fashionbloggers #modafeminina #estilo #itgirl","","🥰 🤪","pt","","0","0"
"2019-03-09 23:39:53",1104527257329197062,"graaazi","Carnaval-se. 🎉 em Praça da República https://t.co/fpXBUEziTN",0,0,"","","","","🎉","pt","","0","0"
"2019-03-09 23:36:49",1104526482037137410,"DJAnaSerroni","Obrigada ao Sindecs-SP pela linda homenagem  comemorando o dia da mulher e o dia internacional do DJ! Reconhecimento e respeito  coisas que não tem preço. Muito feliz! 😊🎧🎶🔝! #diadodj… https://t.co/2LYfVCGC5t",0,0,"","","#diadodj","","😊 🎧 🎶 🔝","pt","","0","0"
"2019-03-09 23:31:47",1104525217500725248,"Beto_Morumbi","A camisa do SPFC em campo ! (@ Estádio Municipal Paulo Machado de Carvalho (Pacaembu) in São Paulo  SP) https://t.co/GCKIFCKQ9D",0,7,"","@","","","","pt","","0","0"
"2019-03-09 23:29:32",1104524650934165504,"skahyler","I'm at Estação Luz (Metrô) - @metrosp_oficial in São Paulo  SP https://t.co/Z0oghURd4X",0,0,"","@metrosp_oficial","","","","pt","","0","0"
"2019-03-09 23:29:10",1104524558554423296,"VanSantos13","A chuva só deixou melhor.
#BlocoDaDiversidade em Largo Do Arouche https://t.co/GHQGszAVHr",0,1,"","","#BlocoDaDiversidade","","","pt","","0","0"
"2019-03-09 23:28:21",1104524352203182080,"fefegimenes","22 foi ontem  mas só lembrei de postar a foto hoje :) em Rua Augusta https://t.co/dL39ZmfJhf",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:26:03",1104523775729520640,"rogetolentino89","Entrando na SP 021 sentido SP 270 Raposo é o palco do momento Alá mofilio Pam Pam  🙏🙏🙏👦💪✌
Paz de Cristo renovadamente pá todos nós câmbio... em São Paulo  Brazil https://t.co/9FAqtg1YkK",0,0,"","","","","🙏 🙏 🙏 👦 💪 ✌","pt","","0","0"
"2019-03-09 23:23:18",1104523081089990656,"BruninhoFzr","#tbt #makingoff #chacoalhanaagua💦 @mcdedee mclebra 🎶 em São Paulo  Brazil https://t.co/k0inG1OBmH",0,0,"","@mcdedee","#tbt #makingoff #chacoalhanaagua","","💦 🎶","pt","","0","0"
"2019-03-09 23:22:05",1104522776369455104,"hipnose_psico","FORMAÇÃO em

HIPNOSE CLÍNICA e TERAPÊUTICA

 nos dias 06 e 07 de ABRIL/2019

.

Site:… https://t.co/oXvtlT32No",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:21:54",1104522728592281602,"Mo_Americanoid","Friends are friends when they return from a trip to the US and bring us wonderful goodies like Dr Pepper and Garlic Salt 😉Thank you  Leandro and Nalva #friends #goodies #drpepper @ São… https://t.co/oOTdrTdDC3",0,0,"","@","#friends #goodies #drpepper","","😉","en","","0","0"
"2019-03-09 23:21:21",1104522591254077443,"fe_aguiar","🎉 É Carnaval!!! 🥳 - @CartoonBrasil eu te AMOR ❤️ #carttonnetwork #carnaval #stevenuniverse #cartoon #brazil #cartoonnobloco em São Paulo  Brazil https://t.co/hLy3ZIld8a",0,0,"","@CartoonBrasil","#carttonnetwork #carnaval #stevenuniverse #cartoon #brazil #cartoonnobloco","","🎉 🥳 ❤","pt","","0","0"
"2019-03-09 23:20:58",1104522493568667649,"fraja8","Só Mina! 
🙏🏽❤️🎸🎤💪🏿 baianasystem ☠️⚡️ Navio Pirata em SP 🕺🏻 🕺🏻 🕺🏻 🕺🏻 🕺🏻 🕺🏻 #Pirataria 😍 Respeitaaa!!! _______________________________________________________ 
#naviopirata #baianasystem… https://t.co/KgJAUU29hc",0,0,"","","#Pirataria #naviopirata #baianasystem","","🙏 🏽 ❤ 🎸 🎤 💪 🏿 ☠ ⚡ 🕺 🏻 🕺 🏻 🕺 🏻 🕺 🏻 🕺 🏻 🕺 🏻 😍","pt","","0","0"
"2019-03-09 23:16:42",1104521421965930497,"TarsTamandare","CEO de #startup e Olaf em festas  para monetizar em São Paulo  Brazil https://t.co/pNO0UBfAI6",0,0,"","","#startup","","","pt","","0","0"
"2019-03-09 23:15:25",1104521097930665984,"FlavioCrestani","Roma um exemplo de fotografia em São Paulo  Brazil https://t.co/VQsxQeX0Rp",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:13:35",1104520638679707648,"APOLLOTRAINING","TREINADOR APOLLO
Especialista em Fisiologia do Exercício  Biomecânica  Avaliação Física e… https://t.co/7HCkMXXAQS",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:11:23",1104520084049997824,"Roberto_lampa","Café desperta faz bem e cura ;).❤️☕ em São Paulo  Brazil https://t.co/9QwLIhlogh",0,0,"","","","","❤ ☕","pt","","0","0"
"2019-03-09 23:09:13",1104519538240942080,"medna_plural","#DiaInternacionaldoDJ parabéns para esses profissionais que nos agitam na pista
Aplausos para @djevelyncris @djfenixofficial
@RodMinassian em São Paulo  Brazil https://t.co/yrl228Czm4",0,0,"","@djevelyncris @djfenixofficial @RodMinassian","#DiaInternacionaldoDJ","","","pt","","0","0"
"2019-03-09 23:08:30",1104519359467347968,"LaresMdecor","#imobiliaria #decoracao #o #decor #arquitetura #decora #design #arquiteturadeinteriores #designdeinteriores #instadecor #interiores #ap #home #interiordesign #apartamento #casa #homedecor… https://t.co/9kSGiumV7T",0,0,"","","#imobiliaria #decoracao #o #decor #arquitetura #decora #design #arquiteturadeinteriores #designdeinteriores #instadecor #interiores #ap #home #interiordesign #apartamento #casa #homedecor","","","und","","0","0"
"2019-03-09 23:06:22",1104518822076342272,"zehzito","agindo naturalmente no carnaval @ Theatro Municipal de São Paulo https://t.co/EmRaQ5YCBf",0,1,"","@","","","","pt","","0","0"
"2019-03-09 23:03:15",1104518036126609409,"ajgalhardo","🌝🎉 #Carnival #Brazilian #Sampa #BlocoMeuSantkÉPop #Party #pop #music #CarnivalNeverEnd #celebration #SkolBeatsFrost em Praça Da Republica - São Paulo https://t.co/PZi61rDomQ",0,0,"","","#Carnival #Brazilian #Sampa #BlocoMeuSantkÉPop #Party #pop #music #CarnivalNeverEnd #celebration #SkolBeatsFrost","","🌝 🎉","pt","","0","0"
"2019-03-09 23:02:22",1104517815653027847,"Djc3Brasil","Feliz dia Internacional dos Djs a todos os amigos de profissão.

Profissão que muitas vezes é desvalorizada  por quem a prática  mas seguimos firmes e sempre adiante. Tentando… https://t.co/GcIpNzujWN",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:02:05",1104517744043540481,"BruninhoFzr","Março não traz apenas a comemoração do carnaval. Traz também o Dia Internacional dos DJs  comemorado anualmente em 9 de março. Já se foi o tempo em que o rapaz ou a moça responsável pelo… https://t.co/9S2NtVq0y9",0,0,"","","","","","pt","","0","0"
"2019-03-09 23:01:57",1104517709453131776,"valeriapappa","Muito bonito!
Valeu a foto roubada😉 em Mosteiro de São Bento de São Paulo https://t.co/VF2MJtk2Qv",0,0,"","","","","😉","pt","","0","0"
