word,count
sp,528
brazil,420
saopaulo,129
brasil,90
sampa,70
carnaval,65
music,59
amor,49
deus,44
bomdia,41
sempre,37
liberdade,37
vejasp,36
instagood,35
splovers,35
fe,34
gratidao,33
musica,33
saopaulocity,33
cidadedagaroa,31
instalike,30
photography,30
vida,30
saopaulowalk,30
baianasystem,29
spdagaroa,29
love,28
anos,27
dj,27
sucesso,27
igsaopaulo,27
naviopirata,26
senteopeso,26
boanoite,26
cosplay,26
saopaulooriginals,25
padrealessandrocampos,25
catracasp,24
meditaçao,24
olharesdesampa,24
cosplayart,24
hit,23
archivesp,23
liba,22
top,22
fashion,22
soul,22
sertanejo,22
espiritualidade,21
rock,21
sigasp,21
parabens,20
dias,20
follow,20
lifestyle,20
reflexao,20
summer,20
metro,20
show,20
jg,20
reidosertanejocarioca,20
soufadojoaogabriel,20
sertanejou,20
countrymusic,20
country,20
vemmedarumbeijo,20
encontrocosplaynaliba,20
vempraliba,20
gay,19
familia,19
photo,19
mulheres,19
photooftheday,19
amigos,18
by,18
vinyl,18
serato,17
vinil,17
beard,17
terrasanta,17
vamos,16
tempo,16
corinthians,16
and,16
instadaily,16
milionarios,16
osasco,16
equilibrio,16
melody,16
soulmusic,16
funksoul,16
oldschool,16
deejay,16
mundo,16
ano,16
donadosmeussonhos,16
mondaymotivation,16
vivaavida,15
to,15
bem,14
paz,14
chuva,14
of,14
feliz,14
i,14
art,14
amo,14
redessociais,14
city,14
samba,14
trabalho,14
melhor,14
beautiful,14
funk,14
travel,14
foodporn,14
moda,14
carnavalsp,14
from,14
you,14
mulher,13
the,13
produtora,13
abc,13
goodnight,13
smile,13
porque,13
bom,13
artista,13
model,12
glamour,12
mae,12
amiga,12
vibe,12
jesus,12
repost,12
hiphop,12
cute,12
siga,12
food,12
soulfunk,12
flores,12
goodmorning,12
pretinha,12
sunset,12
fitness,12
fun,12
semana,12
friends,12
blogger,12
naoalugueumford,12
dontbuyaford,12
dontrentaford,12
lutamospelonossoemprego,12
ford,12
fordusa,12
forddetroit,12
fordeurope,12
cbs,12
cnn,12
nbc,12
estadao,12
folhadesaopaulo,12
arte,11
camiseta,11
streetphotography,11
cor,11
tattoo,11
amazing,11
municipal,11
goodvibes,11
boamadrugada,11
cat,11
cliente,11
portrait,11
loja,11
nunca,10
gaysp,10
gaybrasil,10
essepe,10
sol,10
bora,10
artwork,10
pagode,10
queen,10
vem,10
pretty,10
instafashion,10
historia,10
job,10
super,10
lovemoon,10
percing,10
bodypercing,10
tattoomodel,10
tatuagemnerd,10
niggastyle,10
cats,10
amizade,10
vsco,10
winter,10
tagsforlikes,10
showtime,10
beauty,10
joaogabriel,10
relax,10
fotografia,10
alemdokiai,10
rumoaobloco,10
beleza,9
streetstyle,9
selfie,9
fica,9
pessoas,9
in,9
bloco,9
lugar,9
luz,9
drawing,9
poder,9
girls,9
night,9
light,9
caminho,9
family,9
carinho,9
redeglobo,9
chill,9
lançamento,9
on,9
amp,9
reposted,9
adpm,9
modelo,8
modafeminina,8
vezes,8
pena,8
saude,8
your,8
viva,8
força,8
coragem,8
casa,8
deusebomotempotodo,8
disponivel,8
boatarde,8
gravacaotv,8
autoral,8
blackmusic,8
linda,8
deixe,8
make,8
hotwomen,8
senhor,8
youtubers,8
serie,8
vou,8
solicite,8
orçamento,8
negro,8
ash,8
aniversario,8
kitten,8
argoth,8
felicidade,8
tbt,8
pitacosdovovo,8
carnavrau,8
vscocam,8
alegria,8
bluesrock,8
hardrock,8
malemodel,8
gorgeous,8
positiveenergy,8
vibes,8
westsideradio,8
worldwide,8
futurebeatsrecords,8
pensamentos,8
oftheday,8
happy,8
dog,8
ootd,8
menstyle,8
falar,8
motivaçao,8
sketch,8
creative,8
instaart,8
instaartist,8
artstagram,8
painting,8
artoftheday,8
adk,8
maternidade,8
inked,8
pose,8
penteada,8
naruto,8
propria,8
santa,7
alma,7
avaliaçao,7
teatro,7
nada,7
boy,7
precisa,7
centro,7
boa,7
way,7
lk,7
fire,7
cd,7
momento,7
programa,7
novo,7
urban,7
inspirations,7
compromisso,7
proxima,7
tiagolimafotoevideo,7
festa,7
bom_dia,7
alternative,7
cura,7
